sleep_hours,daily_exercise_mins,screen_time_hours,diet_quality,stress_level,productivity,mood
7.75,1,1.57,7,5,5.38,6.11
6.79,85,3.58,9,5,6.81,6.83
7.97,32,6.61,6,8,4.21,5.28
9.28,41,5.01,6,6,5.84,4.65
6.65,24,1.52,4,8,4.12,4.34
6.65,4,6.27,4,6,4.07,4.54
9.37,1,4.68,6,6,5.45,7.3
8.15,40,3.17,6,6,4.76,5.06
6.3,10,0.92,7,7,5.7,6.28
7.81,6,4.87,7,7,3.47,5.98
6.3,16,3.67,6,7,4.87,4.35
6.3,11,4.31,9,6,6.24,5.28
7.36,21,0.83,5,5,5.25,6.41
4.13,13,3.16,6,8,2.91,4.42
4.41,24,4.96,7,8,4.81,5.17
6.16,38,7.75,4,8,2.84,3.73
5.48,4,3.59,7,7,4.34,3.96
7.47,8,6.89,6,8,5.46,2.57
5.64,11,5.57,6,10,3.85,3.1
4.88,65,4.47,7,8,4.89,4.39
9.2,9,1.98,7,5,7.07,7.05
6.66,10,2.06,7,6,4.16,4.58
7.1,21,5.24,5,7,4.7,3.42
4.86,11,2.95,9,6,5.14,4.9
6.18,60,2.77,3,8,3.79,3.79
7.17,45,3.64,5,7,4.61,5.1
5.27,14,3.67,5,7,4.84,6.24
7.56,21,5.8,5,6,3.56,5.26
6.1,1,2.99,3,7,3.65,3.91
6.56,24,5.6,9,5,5.25,6.34
6.1,25,4.88,7,5,5.31,7.09
9.78,9,0.65,5,6,5.44,4.52
6.98,5,4.59,7,7,5.12,6.21
5.41,49,0.5,6,5,5.24,5.94
8.23,11,2.21,5,6,5.27,4.14
5.17,21,4.93,4,8,3.62,3.14
7.31,1,3.98,6,7,4.91,4.27
4.06,11,0.5,5,8,3.94,2.63
5.01,34,1.76,4,6,4.32,3.76
7.3,10,0.5,8,5,5.81,5.06
8.11,18,1.31,5,6,6.08,5.86
7.26,5,5.16,9,6,5.0,7.16
6.83,11,2.89,5,8,6.06,3.96
6.55,53,4.34,3,10,3.38,3.0
4.78,17,4.03,7,8,3.99,5.43
5.92,46,4.07,5,7,3.33,3.69
6.31,46,6.05,3,8,3.78,2.67
8.59,58,3.59,6,5,6.8,5.69
7.52,45,5.82,4,6,4.21,5.5
4.36,0,0.5,2,8,4.0,3.09
7.49,54,6.22,7,7,5.45,6.61
6.42,3,1.42,9,8,4.37,4.83
5.98,1,1.85,5,6,3.86,5.27
7.92,1,2.59,8,4,6.36,6.1
8.55,9,6.17,7,6,5.17,4.3
8.4,19,2.22,7,5,7.18,7.31
5.74,10,2.69,6,7,4.04,4.72
6.54,1,2.08,5,6,4.54,5.85
7.5,13,4.51,7,6,4.92,6.58
8.46,12,5.49,7,6,6.27,6.69
6.28,28,7.41,4,8,2.87,6.06
6.72,7,8.8,5,8,2.53,3.27
5.34,5,5.3,6,8,3.66,5.9
5.21,6,4.73,5,8,3.65,3.71
8.22,7,1.57,5,5,4.16,6.21
9.03,18,7.82,4,7,5.12,5.03
6.89,13,4.43,5,8,4.94,5.3
8.51,8,3.42,6,6,5.22,5.56
