Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,stress_numeric
6.9,3.8,8.7,2.8,1.8,2.99,2
5.3,3.5,8.0,4.2,3.0,2.75,1
5.1,3.9,9.2,1.2,4.6,2.67,1
6.5,2.1,7.2,1.7,6.5,2.88,2
8.1,0.6,6.5,2.2,6.6,3.51,3
6.0,2.1,8.0,0.3,7.6,2.85,2
8.0,0.7,5.3,5.7,4.3,3.08,3
8.4,1.8,5.6,3.0,5.2,3.2,3
5.2,3.6,6.3,4.0,4.9,2.82,1
7.7,0.7,9.8,4.5,1.3,2.76,2
9.7,3.6,8.0,2.5,0.2,3.43,3
6.9,1.1,9.1,2.1,4.8,2.97,2
6.4,2.2,5.7,4.8,4.9,2.82,3
5.0,3.3,8.5,4.4,2.8,2.87,1
8.9,0.3,6.8,0.7,7.3,3.4,3
6.7,0.3,6.6,2.0,8.4,3.2,2
8.6,2.6,9.4,1.6,1.8,3.36,3
8.8,2.2,8.9,2.0,2.1,3.19,3
7.6,1.7,5.1,0.6,9.0,3.16,3
6.6,2.0,9.5,1.5,4.4,2.93,2
7.1,3.0,6.1,0.5,7.3,2.9,2
9.6,3.2,8.2,2.6,0.4,3.34,3
9.0,0.7,9.5,2.6,2.2,3.21,3
6.1,1.7,9.1,5.2,1.9,2.85,2
5.0,2.0,7.1,1.3,8.6,2.68,1
9.7,1.3,7.6,3.8,1.6,3.29,3
6.8,3.9,9.8,0.9,2.6,2.64,2
6.4,0.1,8.0,3.0,6.5,2.95,2
5.3,1.1,9.5,1.4,6.7,2.79,1
9.9,1.0,8.4,3.6,1.1,3.25,3
6.2,2.9,6.8,3.8,4.3,3.05,2
5.5,3.3,6.6,1.1,7.5,3.26,1
5.2,2.4,8.4,0.1,7.9,2.47,1
8.2,0.7,8.5,2.3,4.3,3.24,3
9.7,0.6,6.7,0.7,6.3,3.62,3
9.1,2.2,7.6,1.2,3.9,3.12,3
5.5,3.6,9.5,3.4,2.0,2.58,1
8.6,3.6,9.4,1.9,0.5,3.03,3
8.2,0.3,5.8,5.4,4.3,3.29,3
5.0,0.6,7.7,4.2,6.5,2.61,1
8.3,0.9,8.6,1.4,4.8,3.48,3
8.2,3.4,8.3,2.3,1.8,3.07,3
5.5,1.5,6.3,1.5,9.2,2.81,1
9.5,2.5,9.0,1.5,1.5,3.49,3
7.9,2.0,6.0,4.3,3.8,2.97,2
9.7,3.8,9.6,0.3,0.6,3.55,3
5.1,3.7,7.1,5.8,2.3,2.6,1
9.3,1.3,5.8,3.3,4.3,3.09,3
9.7,2.8,7.9,0.3,3.3,3.47,3
9.4,3.0,8.5,2.2,0.9,3.18,3
6.8,1.2,9.0,4.9,2.1,3.12,2
9.0,2.6,8.5,3.1,0.8,4.0,3
