id,sleep_hours,daily_exercise_mins,screen_time_hours,diet_quality_1_10,stress_level_1_10,productivity_score_1_10,mood_level_1_10
1,7.75,1,1.57,7,5,5.38,6.11
2,6.79,85,3.58,9,5,6.81,6.83
3,7.97,32,6.61,6,8,4.21,5.28
4,9.28,41,5.01,6,6,5.84,4.65
5,6.65,24,1.52,4,8,4.12,4.34
6,6.65,4,6.27,4,6,4.07,4.54
7,9.37,1,4.68,6,6,5.45,7.3
8,8.15,40,3.17,6,6,4.76,5.06
9,6.3,10,0.92,7,7,5.7,6.28
10,7.81,6,4.87,7,7,3.47,5.98
11,6.3,16,3.67,6,7,4.87,4.35
12,6.3,11,4.31,9,6,6.24,5.28
13,7.36,21,0.83,5,5,5.25,6.41
14,4.13,13,3.16,6,8,2.91,4.42
15,4.41,24,4.96,7,8,4.81,5.17
16,6.16,38,7.75,4,8,2.84,3.73
17,5.48,4,3.59,7,7,4.34,3.96
18,7.47,8,6.89,6,8,5.46,2.57
19,5.64,11,5.57,6,10,3.85,3.1
20,4.88,65,4.47,7,8,4.89,4.39
21,9.2,9,1.98,7,5,7.07,7.05
22,6.66,10,2.06,7,6,4.16,4.58
23,7.1,21,5.24,5,7,4.7,3.42
24,4.86,11,2.95,9,6,5.14,4.9
25,6.18,60,2.77,3,8,3.79,3.79
26,7.17,45,3.64,5,7,4.61,5.1
27,5.27,14,3.67,5,7,4.84,6.24
28,7.56,21,5.8,5,6,3.56,5.26
29,6.1,1,2.99,3,7,3.65,3.91
30,6.56,24,5.6,9,5,5.25,6.34
31,6.1,25,4.88,7,5,5.31,7.09
32,9.78,9,0.65,5,6,5.44,4.52
33,6.98,5,4.59,7,7,5.12,6.21
34,5.41,49,0.5,6,5,5.24,5.94
35,8.23,11,2.21,5,6,5.27,4.14
36,5.17,21,4.93,4,8,3.62,3.14
37,7.31,1,3.98,6,7,4.91,4.27
38,4.06,11,0.5,5,8,3.94,2.63
39,5.01,34,1.76,4,6,4.32,3.76
40,7.3,10,0.5,8,5,5.81,5.06
41,8.11,18,1.31,5,6,6.08,5.86
42,7.26,5,5.16,9,6,5.0,7.16
43,6.83,11,2.89,5,8,6.06,3.96
